频道名,地址,来源,图标,检测时间,分组,视频信息,未通过信息,相似度
2M,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119051/2mmaroc/playlist.m3u8,网络源,https://i.imgur.com/PJYTfHi.png,0.679,,,error,0.0
3Ktv,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120684/3ktv/playlist.m3u8,网络源,https://i.imgur.com/fMxIbjQ.png,0.680,,,error,0.0
7 Info,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120684/7info/playlist.m3u8,网络源,https://i.imgur.com/jcl1nNR.png,0.668,,,error,0.0
3TV,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120430/3tv/playlist.m3u8,网络源,https://i.imgur.com/Q9es1bM.png,0.085,,,error,0.0
10 Shake (480p),http://44.32.200.212:5004/auto/v13,网络源,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/10_Shake_logo_2020.svg/512px-10_Shake_logo_2020.svg.png,0.756,,,error,0.0
002 Radio TV (720p),https://cdn.002radio.com:3909/live/radio002live.m3u8,网络源,https://i.imgur.com/7oNe8xj.png,0.803,,,error,0.0
3sat (720p) [Geo-blocked],https://zdf-hls-18.akamaized.net/hls/live/2016501/dach/high/master.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/3sat_2019.svg/512px-3sat_2019.svg.png,1.335,,,error,0.0
3 Stones TV (240p) [Not 24/7],https://goliveafrica.media:9998/live/64d21e682fd26/index.m3u8,网络源,https://i.imgur.com/im3g7T2.png,1.390,,,error,0.0
12 Visión Encarnación (1080p) [Not 24/7],https://stream.oursnetworktv.com/latin/encoder87b/playlist.m3u8,网络源,https://i.imgur.com/yvQJQNF.jpg,0.346,,,error,0.0
5 Канал,https://streaming.televizor-24-tochka.ru/live/8.m3u8,网络源,https://i.imgur.com/KPXMa3U.png,1.952,,,error,0.0
3HD,https://lb1-live-mv.v2h-cdn.com/hls/ffae/muulk/muulk.m3u8,网络源,https://i.imgur.com/YRiulCU.png,1.957,,,error,0.0
7TV Senegal,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120431/7tv/playlist.m3u8,网络源,https://i.imgur.com/e2K9oFJ.png,0.076,,,error,0.0
13 Entretención (720p),https://origin.dpsgo.com/ssai/event/BBp0VeP6QtOOlH8nu3bWTg/master.m3u8,网络源,https://i.imgur.com/utI1tJV.png,1.354,,,error,0.0
1+1 International,https://uvotv-aniview.global.ssl.fastly.net/10010/dvr/hls/11international/playlist.m3u8,网络源,https://i.imgur.com/LOY0rtp.png,0.074,,,error,0.0
1+1 Marafon,https://uvotv-aniview.global.ssl.fastly.net/10010/dvr/hls/11maraphon/playlist.m3u8,网络源,https://i.imgur.com/smQKa2G.png,0.096,,,error,0.0
4Kids TV,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120682/algerian4kids/playlist.m3u8,网络源,https://i.imgur.com/507piHp.png,0.081,,,error,0.0
13 Humor (1080p),https://origin.dpsgo.com/ssai/event/cKWySXKgSK-SzlJmESkOWw/master.m3u8,网络源,https://i.imgur.com/KvMuTzN.png,1.626,,,error,0.0
3ABN TV Uganda (720p) [Not 24/7],https://3abn.bozztv.com/3abn/3abn_uganda_live/index.m3u8,网络源,https://i.imgur.com/mml9lI2.png,0.310,,,error,0.0
